प्रथमोऽध्याय,प्रथम+अध्याय
अष्टमोनुग्रह,अष्टम+अनुग्रह
सर्गस्त्रिधा,सर्ग+त्रिधा
पौर्णमासश्च,पौर्णमास+च
हृदयञ्च,हृदयम+च
पूज्यश्च,पूज्य+च
विभूतिर्विमला,विभूति+विमला
शक्तिश्च,शक्ति+च
लक्ष्मीर्म्मेधा,लक्ष्मी+मेधा
तुष्टिश्च,तुष्टि+च
गुरुश्च,गुरु+च
जलमेव,जलम+एव
खड्गमेव,खड्गम+एव
मूलन्तु,मूलम+तु
वापि,वा+अपि
कर्त्तव्यन्तु,कर्त्तव्यम+तु
चाभ्युक्ष्य,च+अभ्युक्ष्य
प्राङ्नीत्वा,प्राक+नीत्वा
द्विर्नीत्वा,द्वि+नीत्वा
गर्भाधानन्तु,गर्भाधानम+तु
मध्येथ,मध्ये+अथ
आहूयाग्रे,आहूय+अग्रे
निवेश्याथ,निवेश्य+अथ
शिरश्चूडा,शिर+चूडा
सत्यञ्च,सत्यम+च
सप्तमश्च,सप्तम+च
शब्दश्च,शब्द+च
त्वगेव,त्वक+एव
चक्षुर्जिह्वा,चक्षु+जिह्वा
श्रीधरोथ,श्रीधर+अथ
केशवश्च,केशव+च
नारायणस्तत,नारायण+तत
शिरस्यथ,शिरसि+अथ
पञ्चगव्यन्तु,पञ्चगव्यम+तु
आचम्याथ,आचम्य+अथ
त्वमेव,त्वम+एव
तन्नाम,तत+नाम
तत्रैकधा,तत्र+एकधा
बुद्धिस्तथा,बुद्धि+तथा
मण्डलेथ,मण्डले+अथ
हृदयन्तेन,हृदयम+तेन
तद्वै,तत+वै
समानन्तु,समानम+तु
एवमेव,एवम+एव
प्रयोगस्तु,प्रयोग+तु
शोधयित्वाथ,शोधयित्वा+अथ
विशोध्यान्ते,विशोध्य+अन्ते
यस्तु,य+तु
वियोज्याथ,वियोज्य+अथ
शिष्योऽथ,शिष्य+अथ
पीठन्तत्र,पीठम+तत्र
पद्मन्तु,पद्मम+तु
स्याद्वृद्ध्या,स्यात+वृद्ध्या
नाभिस्तु,नाभि+तु
पश्चात्‍्रीणि,पश्चात+त्रीणि
ततोपि,तत+अपि
त्रीण्यन्त,त्रीणि+अन्त
सत्यस्तु,सत्य+तु
भद्रकञ्च,भद्रकम+च
त्रिंशोऽध्याय,त्रिंश+अध्याय
तेजस्तथा,तेज+तथा
गन्धञ्च,गन्धम+च
चक्षुश्च,चक्षु+च
पञ्चाथ,पञ्च+अथ
तथापरेण,तथा+अपरेण
सुखञ्च,सुखम+च
नयाशु,नय+आशु
यच्च,यत+च
कीर्त्तितोस्य,कीर्त्तित+अस्य
वासुदेवास्य,वासुदेव+अस्य
सममस्य,समम+अस्य
दुष्टमस्य,दुष्टम+अस्य
शान्तिरस्तु,शान्ति+अस्तु
ततश्चूडा,तत+चूडा
द्विर्माला,द्वि+माला
पीतञ्च,पीतम+च
शुद्धञ्च,शुद्धम+च
कूर्मोथ,कूर्म+अथ
पद्मञ्च,पद्मम+च
ततश्च,तत+च
शान्तिश्च,शान्ति+च
भवेति,भव+इति
शार्ङ्गञ्च,शार्ङ्गम+च
शशोऽथ,शश+अथ
पूर्णश्च,पूर्ण+च
विधायाथ,विधाय+अथ
तदेकत्र,तत+एकत्र
कुम्भञ्च,कुम्भम+च
पञ्चगव्यञ्च,पञ्चगव्यम+च
पाद्यञ्च,पाद्यम+च
चैकधा,च+एकधा
त्वनेन,तु+अनेन
देवेति,देव+इति
पवित्रञ्च,पवित्रम+च
पवित्रमात्मने,पवित्रम+आत्मने
ब्रह्मसूत्रञ्च,ब्रह्मसूत्रम+च
शतमुद्धृत्य,शतम+उद्धृत्य
यद्धनवान,यत+धनवान
यत्रास्ते,यत्र+आस्ते
तेपि,ते+अपि
जीवितेथ,जीविते+अथ
दैवाद्वा,दैवात+वा
भगवानुवाच,भगवान+उवाच
मण्डलन्तु,मण्डलम+तु
यावदेव,यावत+एव
भित्तिर्वै,भित्ति+वै
देवीति,देवी+इति
कुमुदञ्च,कुमुदम+च
रत्नमेव,रत्नम+एव
चोत्तरे,च+उत्तरे
द्वादशैव,द्वादश+एव
कार्य्यमग्रे,कार्य्यम+अग्रे
गर्भस्तु,गर्भ+तु
ह्यरुणा,हि+अरुणा
हुत्वाथ,हुत्वा+अथ
यात्रैषा,यात्रा+एषा
सप्तैव,सप्त+एव
ललाटन्तु,ललाटम+तु
वक्त्रन्तु,वक्त्रम+तु
चाग्रे,च+अग्रे
तर्ज्जन्यनामिका,तर्ज्जनी+अनामिका
प्रमाणन्तु,प्रमाणम+तु
परिणाहस्तथा,परिणाह+तथा
नाहोस्य,नाह+अस्य
परिणाहोत्र,परिणाह+अत्र
चक्रमधस्तात,चक्रम+अधस्तात
पद्ममेव,पद्मम+एव
पादपीठन्तु,पादपीठम+तु
लक्ष्मीस्तथा,लक्ष्मी+तथा
पीतोनिरुद्ध,पीत+अनिरुद्ध
विष्णुर्मध्ये,विष्णु+मध्ये
वासुदेवश्च,वासुदेव+च
काम्याथो,काम्या+अथो
पूजाथो,पूजा+अथो
षोडशारञ्च,षोडशारम+च
पद्मनाभस्तु,पद्मनाभ+तु
वाथ,वा+अथ
लक्ष्मीर्वा,लक्ष्मी+वा
स्यादथवा,स्यात+अथवा
लम्बकर्णश्च,लम्बकर्ण+च
वासुदेवोस्ति,वासुदेव+अस्ति
चतुर्भुजोनिरुद्ध,चतुर्भुज+अनिरुद्ध
खड्गस्तु,खड्ग+तु
शरश्च,शर+च
विश्वरूपोऽथ,विश्वरूप+अथ
दक्षिणस्थोथ,दक्षिणस्थ+अथ
अष्टादशभुजैका,अष्टादशभुजा+एका
चक्रन्देवी,चक्रम+देवी
कुक्कुटोथ,कुक्कुट+अथ
चाष्टभुजा,च+अष्टभुजा
त्रिशूलञ्च,त्रिशूलम+च
मुण्डञ्च,मुण्डम+च
सविताथ,सविता+अथ
पर्ज्जन्यस्त्वष्टा,पर्ज्जन्य+त्वष्टा
मित्रोथ,मित्र+अथ
मनाग्रक्त,मनाक+रक्त
स्याज्जीव,स्यात+जीव
अनन्तस्तक्षक,अनन्त+तक्षक
ईशानश्च,ईशान+च
यावद्वै,यावत+वै
निर्गमस्तु,निर्गम+तु
हरस्तु,हर+तु
तद्वदेव,तद्वत+एव
स्याद्यावत,स्यात+यावत
लिङ्गञ्च,लिङ्गम+च
पुण्डरीकन्तु,पुण्डरीकम+तु
पिण्डिकापि,पिण्डिका+अपि
वास्य,वा+अस्य
शुक्लोथ,शुक्ल+अथ
रक्तवर्णस्तथा,रक्तवर्ण+तथा
पुण्डरीकोथ,पुण्डरीक+अथ
नमोऽपि,नम+अपि
हिरण्यगर्भेति,हिरण्यगर्भ+इति
अनन्तेश,अनन्त+ईश
सर्पेति,सर्प+इति
नमोपि,नम+अपि
गोमयञ्च,गोमयम+च
त्वपरे,तु+अपरे
काश्मीरमपरे,काश्मीरम+अपरे
वज्रमेव,वज्रम+एव
लवङ्गञ्च,लवङ्गम+च
चक्रञ्च,चक्रम+च
कौतुकञ्च,कौतुकम+च
शिपिविष्टेति,शिपिविष्ट+इति
मेति,मे+इति
पावमानीति,पावमानी+इति
ओषधीति,ओषधी+इति
गन्धवतीति,गन्धवती+इति
माल्यञ्च,माल्यम+च
चामरन्तु,चामरम+तु
स्पर्शश्च,स्पर्श+च
रूपञ्च,रूपम+च
पायुस्तथा,पायु+तथा
शरीरन्तु,शरीरम+तु
रूपतत्त्वन्तु,रूपतत्त्वम+तु
तद्वच्चतुर्थी,तद्वत+चतुर्थी
यन्नाम,यत+नाम
मूलञ्च,मूलम+च
सोमन्तत्र,सोमम+तत्र
हुतमिति,हुतम+इति
षष्टितमोऽध्याय,षष्टितम+अध्याय
श्रीश्च,श्री+च
चोद्धृत्य,च+उद्धृत्य
द्यौरिति,द्यौ+इति
सूक्तन्तु,सूक्तम+तु
चात्मना,च+आत्मना
न्यस्याभ्यर्च्य,न्यस्य+अभ्यर्च्य
त्वाचार्य्य,तु+आचार्य्य
कुम्भमथवा,कुम्भम+अथवा
तेजस्तत,तेज+तत
गन्धन्तु,गन्धम+तु
त्वस्य,तु+अस्य
सहस्रशीर्षेति,सहस्रशीर्ष+इति
चाभ्यर्च्य,च+अभ्यर्च्य
शिरस्याधाय,शिरसि+आधाय
शतमेव,शतम+एव
नमोऽस्तु,नम+अस्तु
मण्डलेऽभ्यर्च्य,मण्डले+अभ्यर्च्य
लेख्यञ्च,लेख्यम+च
स्याद्वेदिका,स्यात+वेदिका
शतेति,शत+इति
रक्षस्तु,रक्ष+तु
राजेति,राजा+इति
धेन्विति,धेनु+इति
मधुपर्कन्तु,मधुपर्कम+तु
वरुणेति,वरुण+इति
पवित्रन्तु,पवित्रम+तु
चेह,च+इह
भीमश्च,भीम+च
वायुरेव,वायु+एव
स्वाहेद,स्वाहा+इद
ष्ठेति,ष्ठा+इति
रुद्रेति,रुद्र+इति
नमोऽभ्यर्च्य,नम+अभ्यर्च्य
तदभ्यर्च्य,तत+अभ्यर्च्य
समस्तन्तु,समस्तम+तु
धूम्रस्तथा,धूम्र+तथा
वृषस्तु,वृष+तु
विश्वेऽश्विनौ,विश्वे+अश्विनौ
चोत्तार्य्य,च+उत्तार्य्य
विष्णुरिरावती,विष्णु+इरावती
गुरुस्तत्र,गुरु+तत्र
यानमारोप्य,यानम+आरोप्य
नारङ्गमथ,नारङ्गम+अथ
नादेयमथ,नादेयम+अथ
कौपमेव,कौपम+एव
सप्ततितमोऽध्याय,सप्ततितम+अध्याय
गङ्गेति,गङ्गा+इति
शिवायेति,शिवाय+इति
स्वधाऽथ,स्वधा+अथ
दक्षिणेऽथ,दक्षिणे+अथ
कृत्वाथ,कृत्वा+अथ
लीनोऽथ,लीन+अथ
पादादारभ्य,पादात+आरभ्य
हेति,ह+इति
माल्यमादाय,माल्यम+आदाय
ज्ञानञ्च,ज्ञानम+च
पश्चादावाह,पश्चात+आवाह
नोपरि,न+उपरि
चादाय,च+आदाय
शिरस्यारोप्य,शिरसि+आरोप्य
कुट्टनन्तु,कुट्टनम+तु
कुम्भन्तु,कुम्भम+तु
सञ्चिन्त्यादाय,सञ्चिन्त्य+आदाय
धृत्वादाय,धृत्वा+आदाय
पुष्पमारोप्य,पुष्पम+आरोप्य
पूर्ववदभ्यर्च्य,पूर्ववत+अभ्यर्च्य
प्रदत्तन्तु,प्रदत्तम+तु
सदाऽस्तु,सदा+अस्तु
विसृज्याथ,विसृज्य+अथ
नमस्ते,नम+ते
कूर्म्मोऽथ,कूर्म्म+अथ
वह्निर्ब्रह्मा,वह्नि+ब्रह्मा
जयाऽन्या,जया+अन्या
दिशमासाद्य,दिशम+आसाद्य
सम्यगादाय,सम्यक+आदाय
विधिवच्च,विधिवत+च
ह्यात्मने,हि+आत्मने
मूलमुच्चार्य्य,मूलम+उच्चार्य्य
तच्छिवाय,तत+शिवाय
अस्त्रञ्च,अस्त्रम+च
मुमुक्षुरपि,मुमुक्षु+अपि
निर्म्माल्यमपनीय,निर्म्माल्यम+अपनीय
गुप्तञ्च,गुप्तम+च
तदस्तु,तत+अस्तु
त्वङ्गति,त्वम+गति
नान्या,न+अन्या
शिवायाथ,शिवाय+अथ
ममास्तु,मम+अस्तु
माऽस्तु,मा+अस्तु
तेनाथ,तेन+अथ
नान्यथा,न+अन्यथा
त्वमत्र,त्वम+अत्र
वाऽथ,वा+अथ
पुष्पञ्च,पुष्पम+च
दीक्षाऽपि,दीक्षा+अपि
यदास,यदा+आस
हृदाऽभ्यर्च्य,हृदा+अभ्यर्च्य
धृत्वाऽथ,धृत्वा+अथ
शस्त्रञ्च,शस्त्रम+च
शिवमभ्यर्च्य,शिवम+अभ्यर्च्य
सम्पातश्च,सम्पात+च
सकृदालभ्य,सकृत+अलभ्य
फडिति,फट+इति
फडति,फट+इति
सुषुम्णेति,सुषुम्णा+इति
स्वाहेति,स्वाहा+इति
एकञ्च,एकम+च
अस्त्रमादाय,अस्त्रम+आदाय
इत्यादाय,इति+आदाय
उपवेश्याथ,उपवेश्य+अथ
वाऽपि,वा+अपि
बुद्धश्च,बुद्ध+च
विभूतिरव्यय,विभूति+अव्यय
श्वेतश्च,श्वेत+च
सूक्ष्मस्तीक्ष्ण,सूक्ष्म+तीक्ष्ण
संहारश्च,संहार+च
विहारश्च,विहार+च
सत्यश्च,सत्य+च
मकारश्च,मकार+च
गन्धस्तु,गन्ध+तु
लयस्तु,लय+तु
निवृत्तिरिति,निवृत्ति+इति
प्रभावश्च,प्रभाव+च
पुष्करोऽपि,पुष्कर+अपि
महाकालोऽथ,महाकाल+अथ
स्थाणुरेव,स्थाणु+एव
रौद्रोऽथ,रौद्र+अथ
घोरश्च,घोर+च
रसस्तु,रस+तु
तच्च,तत+च
हृदावाह्य,हृदा+अवाह्य
प्रतिष्ठाऽपि,प्रतिष्ठा+अपि
सन्धानमथ,सन्धानम+अथ
रागश्च,राग+च
तथाऽविद्या,तथा+अविद्या
स्वरूपमथ,स्वरूपम+अथ
शिवश्च,शिव+च
बभ्रुरक्षय,बभ्रु+अक्षय
शम्भुरेव,शम्भु+एव
अवस्थाऽत्र,अवस्था+अत्र
सुषुप्तिश्च,सुषुप्ति+च
देवस्तु,देव+तु
स्यादिति,स्यात+इति
स्पर्शस्तु,स्पर्श+तु
विधायादाय,विधाय+आदाय
ह्येव,हि+एव
स्याच्छुद्धि,स्यात+शुद्धि
कुहूश्च,कुहू+च
योगपट्टञ्च,योगपट्टम+च
ज्ञात्वाऽद्यप्रभृति,ज्ञात्वा+अद्यप्रभृति
स्थापनन्तु,स्थापनम+तु
उत्थापनञ्च,उत्थापनम+च
लिङ्गमारोप्य,लिङ्गम+आरोप्य
मानवश्चेत,मानव+चेत
लोहन्तु,लोहम+तु
चेष्टका,च+इष्टका
शङ्खोऽथ,शङ्ख+अथ
पञ्चामी,पञ्च+अमी
सुभद्रश्च,सुभद्र+च
जयोऽथ,जय+अथ
विष्णुस्तथा,विष्णु+तथा
ईश्वरश्च,ईश्वर+च
सान्निध्यमथ,सान्निध्यम+अथ
शिरोऽस्य,शिर+अस्य
न्यासस्तथा,न्यास+तथा
श्रेष्ठस्तु,श्रेष्ठ+तु
चोपरि,च+उपरि
लग्नञ्च,लग्नम+च
शतमष्ट,शतम+अष्ट
राजतञ्च,राजतम+च
मण्डलेभ्यर्च्य,मण्डले+अभ्यर्च्य
मैत्रकञ्च,मैत्रकम+च
ब्राह्मणञ्च,ब्राह्मणम+च
तत्परस्तु,तत्पर+तु
गम्भीरात्र,गम्भीरा+अत्र
रेखापि,रेखा+अपि
देशिकश्च,देशिक+च
स्थितस्तत्र,स्थित+तत्र
भीमञ्च,भीमम+च
पञ्चाथवा,पञ्च+अथवा
तथेच्छा,तथा+इच्छा
अत्रापि,अत्र+अपि
एवञ्च,एवम+च
अथवानेन,अथवा+अनेन
स्थातव्यमिह,स्थातव्यम+इह
श्वभ्रमाच्छाद्य,श्वभ्रम+आच्छाद्य
नित्योथ,नित्य+अथ
द्वितीयन्तु,द्वितीयम+तु
त्वर्चना,तु+अर्चना
यजमानोपि,यजमान+अपि
ततोऽपि,तत+अपि
मानसन्तत्र,मानसम+तत्र
विधिस्तु,विधि+तु
सम्प्रत्येव,सम्प्रति+एव
जप्त्वाथ,जप्त्वा+अथ
शततमोऽध्याय,शततम+अध्याय
जप्त्वात्र,जप्त्वा+अत्र
द्वारमुत्तरत,द्वारम+उत्तरत
कृत्यञ्च,कृत्यम+च
कुम्भमारोप्य,कुम्भम+आरोप्य
रसमाच्छाद्य,रसम+आच्छाद्य
निष्कलञ्च,निष्कलम+च
शिवन्तत्र,शिवम+तत्र
अन्यथापि,अन्यथा+अपि
शिवञ्च,शिवम+च
वामञ्च,वामम+च
भग्नञ्च,भग्नम+च
लिङ्गमाश्रित्य,लिङ्गम+आश्रित्य
लिङ्गन्त्यक्त्वा,लिङ्गम+त्यक्त्वा
भवोत्र,भव+अत्र
भित्तिरिति,भित्ति+इति
चतुरोऽपि,चतुर+अपि
त्रिविष्टपञ्च,त्रिविष्टपम+च
पञ्चैव,पञ्च+एव
द्वितीयोपि,द्वितीय+अपि
विशालश्च,विशाल+च
शङ्खश्च,शङ्ख+च
गजोथ,गज+अथ
चक्रन्तथा,चक्रम+तथा
चान्यत,च+अन्यत
त्रीण्येव,त्रीणि+एव
सुभद्राथ,सुभद्रा+अथ
मण्डपश्च,मण्डप+च
मरीचिश्च,मरीचि+च
विवस्वांश्च,विवस्वान+च
कुड्यन्तु,कुड्यम+तु
चतुःशालन्तु,चतुःशालम+तु
स्थितस्तेन,स्थित+तेन
चान्ते,च+अन्ते
तस्माच्च,तस्मात+च
कलिश्च,कलि+च
मानश्च,मान+च
पञ्चपञ्चाशदेव,पञ्चपञ्चाशत+एव
विंशैव,विंश+एव
मेधातिथिर्भव्य,मेधातिथि+भव्य
तपस्तप्त्वा,तप+तप्त्वा
मध्यमन्तुल्या,मध्यमम+तुल्या
ततस्तस्मात,तत+तस्मात
क्रौञ्चस्तथा,क्रौञ्च+तथा
षोडशाध,षोडश+अध
शैलोऽसौ,शैल+असौ
हेमकूटश्च,हेमकूट+च
वर्षन्तत,वर्षम+तत
इलावृतञ्च,इलावृतम+च
जम्बुश्च,जम्बु+च
नन्दनञ्च,नन्दनम+च
दक्षिणेनैव,दक्षिणेन+एव
पारिपात्रश्च,पारिपात्र+च
तपश्च,तप+च
कीर्त्तिश्च,कीर्त्ति+च
तीर्थञ्चर्म्मण्वती,तीर्थम+चर्म्मण्वती
तीर्थमयोध्या,तीर्थम+अयोध्या
गतिर्गङ्गा,गति+गङ्गा
यावदस्थि,यावत+अस्थि
जायतेऽत्र,जायते+अत्र
सोऽश्विनौ,स+अश्विनौ
गुरुर्मन्द,गुरु+मन्द
सन्निपातश्च,सन्निपात+च
तत्राऽऽद्या,तत्र+आद्या
द्रव्यमिति,द्रव्यम+इति
रोगस्तु,रोग+तु
प्रातर्भुक्त्वा,प्रात+भुक्त्वा
सौवीरमञ्जन,सौवीरम+अञ्जन
निषेव्यस्तु,निषेव्य+तु
भजन्नति,भजन+अति
वृष्यमायुष्य,वृष्यम+आयुष्य
दिवाऽपि,दिवा+अपि
पर्याप्तमिति,पर्याप्तम+इति
इत्याचार,इति+आचार
तृतियोऽध्याय,तृतीय+अध्याय
शिशिरोऽथ,शिशिर+अथ
वसन्तश्च,वसन्त+च
विसर्गश्च,विसर्ग+च
यथोक्त,यथा+उक्त
शीतमधिक,शीतम+अधिक
वायुश्च,वायु+च
चाम्भ,च+अम्भ
सन्नोऽपि,सन्न+अपि
क्षुधितोऽन्न,क्षुधित+अन्न
विधिस्त्याज्य,विधि+त्याज्य
अथातो,अथ+अत
तत्रेष्ट,तत्र+इष्ट
विधिरेष,विधि+एष
वार्षिकमाशु,वार्षिकम+आशु
नाम्बु,न+अम्बु
पयोऽत्र,पय+अत्र
तद्वन्मस्तु,तद्वत+मस्तु
सोऽग्रे,स+अग्रे
तेनासौ,तेन+असौ
पथ्यश्च,पथ्य+च
मेदोऽसृक,मेद+असृक
लघुस्तीक्ष्णा,लघु+तीक्ष्णा
चात्यर्थ,च+अत्यर्थ
वरस्तत्र,वर+तत्र
वरोऽत्र,वर+अत्र
तद्वद्बीज,तद्वत+बीज
माषोऽत्र,माष+अत्र
शिवस्तत्र,शिव+तत्र
द्विर्न,द्वि+न
सृमरश्चमर,सृमर+चमर
गवयश्च,गवय+च
तद्वच्च,तद्वत+च
ग्राम्यस्तु,ग्राम्य+तु
तद्वद्वराह,तद्वत+वराह
दीपनस्तिक्त,दीपन+तिक्त
गुरुर्वृष्य,गुरु+वृष्य
हितकृन्न,हितकृत+न
त्ववर,तु+अवर
स्निग्धमनुष्ण,स्निग्धम+अनुष्ण
पक्वमाशु,पक्वम+आशु
तथाऽम्ल,तथा+अम्ल
चान्यत्र,च+अन्यत्र
तमाम,तम+आम
तद्वदामलक,तद्वत+आमलक
शीतमम्ल,शीतम+अम्ल
चतुर्जात,चतु+जात
शकृन्मुञ्चति,शकृत+मुञ्चति
इत्यन्न,इति+अन्न
सात्म्यमल्प,सात्म्यम+अल्प
अपथ्यमपि,अपथ्यम+अपि
पथ्यमेव,पथ्यम+एव
वर्णितस्तत्र,वर्णित+तत्र
ज्ञानमज्ञान,ज्ञानम+अज्ञान
स्यादन्यथा,स्यात+अन्यथा
चानु,च+अनु
पुनरेति,पुन+एति
स्यान्मात्रा,स्यात+मात्रा
सोऽलसक,स+अलसक
विध्यतीति,विध्यति+इति
सोऽलस,स+अलस
तद्धि,तत+हि
इवोद्गार,इव+उद्गार
चान्न,च+अन्न
पथ्यमपथ्य,पथ्यम+अपथ्य
चाल्प,च+अल्प
द्रव्यमेव,द्रव्यम+एव
व्यपदेशस्तु,व्यपदेश+तु
अव्यक्तोऽनुरस,अव्यक्त+अनुरस
किञ्चिदन्ते,किञ्चित+अन्ते
व्यक्तोऽपि,व्यक्त+अपि
किञ्चिद्विद्यते,किञ्चित+विद्यते
जगदिव,जगत+इव
पटुश्च,पटु+च
दहतीव,दहति+इव
रूक्षोऽति,रूक्ष+अति
सोऽति,स+अति
क्षारश्च,क्षार+च
प्रायोऽम्ल,प्राय+अम्ल
कषायश्च,कषाय+च
लघुरम्ल,लघु+अम्ल
द्रव्यमेक,द्रव्यम+एक
रसोऽपि,रस+अपि
सादोऽल्प,साद+अल्प
मन्दोऽनल,मन्द+अनल
शोणितमेव,शोणितम+एव
तोदोऽत्यर्थ,तोद+अत्यर्थ
धूमायतीव,धूमायति+इव
चाति,च+अति
वृद्धिर्हि,वृद्धि+हि
क्षीणश्च,क्षीण+च
ओजस्तु,ओज+तु
यदपि,यत+अपि
द्वादशोध्याय,द्वादश+अध्याय
तत्रापि,तत्र+अपि
नाभिरामाशय,नाभि+आमाशय
नाभिरत्र,नाभि+अत्र
प्राणोऽत्र,प्राण+अत्र
पचत्यन्न,पचति+अन्न
सद्योऽपि,सद्य+अपि
कालस्तु,काल+तु
वाऽमुत्र,वा+अमुत्र
व्याधिरेव,व्याधि+एव
नामतोऽस्ति,नामत+अस्ति
अतोऽभियुक्त,अत+अभियुक्त
संसर्गस्त्रिधा,संसर्ग+त्रिधा
प्रदोषश्चन्द्रमा,प्रदोष+चन्द्रमा
नाऽसौ,न+असौ
शुद्धस्तु,शुद्ध+तु
रसमाम,रसम+आम
मध्येऽन्ते,मध्ये+अन्ते
त्वव,तु+अव
स्याद्बल,स्यात+बल
कार्श्यमेव,कार्श्यम+एव
अथात,अथ+अत
चान्त,च+अन्त
त्रयस्रिंशदिति,त्रयस्त्रिंशत+इति
ह्यस्तेन,हि+अस्तेन
स्नेहोऽच्छ,स्नेह+अच्छ
पुनरुष्णोदक,पुन+उष्णोदक
उपचारस्तु,उपचार+तु
यावदत,यावत+अत
एकाह,एक+अह
विधिर्नाम,विधि+नाम
स्नातस्तत,स्नात+तत
प्रायस्तिक्त,प्राय+तिक्त
विद्रधिस्तिमिर,विद्रधि+तिमिर
अयोगस्तेन,अयोग+तेन
सम्यग्योगे,सम्यक+योगे
दशैव,दश+एव
प्रस्थस्तथा,प्रस्थ+तथा
सम्यगालोच्य,सम्यक+आलोच्य
शकृन्निर्हृत्य,शकृत+निर्हृत्य
चिराच्च,चिरात+च
निरूहोऽन्वासन,निरूह+अन्वासन
मूलेऽग्रे,मूले+अग्रे
अथास्य,अथ+अस्य
केवलमेव,केवलम+एव
नाति,न+अति
तृतीयोऽपि,तृतीय+अपि
चतुर्थोऽपि,चतुर्थ+अपि
यावद्वा,यावत+वा
नवैकादश,नव+एकादश
पुनरास्थापन,पुन+आस्थापन
त्रयस्ते,त्रय+ते
त्रिधैव,त्रिधा+एव
स्नेहोऽन्ते,स्नेह+अन्ते
तस्मान्निरूढ,तस्मात+निरूढ
तन्नेत्र,तत+नेत्र
शुक्तिरेव,शुक्ति+एव
भेषजमस्ति,भेषजम+अस्ति
चिकित्साऽपि,चिकित्सा+अपि
विंशोऽध्याय,विंश+अध्याय
त्रिधाऽपि,त्रिधा+अपि
मर्शश्च,मर्श+च
स्नेहोऽत्र,स्नेह+अत्र
शनैरुच्छिद्य,शनै+उच्छिद्य
तैलमेव,तैलम+एव
तीक्ष्णश्च,तीक्ष्ण+च
धूमस्तु,धूम+तु
द्विर्मध्य,द्वि+मध्य
पूतिर्गन्ध,पूति+गन्ध
त्रयस्तत्र,त्रय+तत्र
स्निग्धोऽत्र,स्निग्ध+अत्र
तत्राभ्यङ्ग,तत्र+अभ्यङ्ग
स्यान्मार्दव,स्यात+मार्दव
अथाञ्जन,अथ+अञ्जन
उपघातोऽपि,उपघात+अपि
दृष्टिर्हि,दृष्टि+हि
दृष्टिश्च,दृष्टि+च
जगच्च,जगत+च
मध्येऽस्य,मध्ये+अस्य
यन्त्रमर्श,यन्त्रम+अर्श
दीप्तोऽन्त,दीप्त+अन्त
नतोऽग्रे,नत+अग्रे
हर्षश्च,हर्ष+च
धनुर्वक्रा,धनु+वक्रा
दाहश्च,दाह+च
जलौकसस्तु,जलौकस+तु
अन्यत्रान्यत्र,अन्यत्र+अन्यत्र
शोफस्त,शोफ+त
धिर्नाम,धि+नाम
सम्यग्विद्धा,सम्यक+विद्धा
वहत्यल्प,वहति+अल्प
तदिति,तत+इति
स्याद्दारुणा,स्यात+दारुणा
किञ्चिद्धि,किञ्चित+हि
पुनर्न,पुन+न
चासन,च+आसन
परितश्च,परित+च
वामदेवश्च,वामदेव+च
नाभवत,न+अभवत
गुरुर्वशिष्ठ,गुरु+वशिष्ठ
कथमस्य,कथम+अस्य
उपायस्तु,उपाय+तु
पुत्रस्ते,पुत्र+ते
खाच्च्युता,खात+च्युता
उत्सवश्च,उत्सव+च
अथैकदा,अथ+एकदा
दशरथश्च,दशरथ+च
राममाह,रामम+आह
विश्वामित्रश्च,विश्वामित्र+च
लोकेऽभवत,लोके+अभवत
गौतमोऽपि,गौतम+अपि
गुरुर्विश्वामित्र,गुरु+विश्वामित्र
रावणोऽपि,रावण+अपि
प्रभुरभवत,प्रभु+भवत
नेद,न+इद
धनुरिद,धनु+इद
विवाहोऽभवत,विवाह+अभवत
शत्रुघ्नश्च,शत्रुघ्न+च
दशरथोऽपि,दशरथ+अपि
क्वास्ते,क्व+आस्ते
भयभीतोऽभवत,भयभीत+अभवत
शत्रुरस्मि,शत्रु+अस्मि
परशुरामश्च,परशुराम+च
पराजितोऽभवत,पराजित+अभवत
चामन्त्र्य,च+आमन्त्र्य
प्रीतिरेषा,प्रीति+एषा
चिन्तितमिति,चिन्तितम+इति
नृपस्तु,नृप+तु
रामश्चतुर्दश,राम+चतुर्दश
विषमिव,विषम+इव
रामचन्द्रस्तु,रामचन्द्र+तु
तत्परोऽभवत,तत्पर+अभवत
जगदिदम,जगत+इदम
वशिष्ठश्च,वशिष्ठ+च
व्यसनमारब्ध,व्यसनम+आरब्ध
राममुपसृत्य,रामम+उपसृत्य
रामस्तु,राम+तु
नातिमात्र,न+अतिमात्र
पुनस्ते,पुन+ते
समेतोऽस्मि,समेत+अस्मि
खरश्च,खर+च
मनश्चक्रे,मन+चक्रे
तथापश्यत,तथा+अपश्यत
पुनस्त्व,पुन+त्व
दूषणश्च,दूषण+च
त्रिशिराश्च,त्रिशिरा+च
सहायस्तत्र,सहाय+तत्र
मघवानिव,मघवान+इव
वाक्यमयुक्त,वाक्यम+अयुक्त
बलादपि,बलात+अपि
तमपश्यत,तम+अपश्यत
सख्यमभवत,सख्यम+अभवत
राजाऽभवत,राजा+अभवत
सुग्रीवोऽपि,सुग्रीव+अपि
रामश्च,राम+च
दर्शितश्च,दर्शित+च
प्रीताऽभवत,प्रीता+अभवत
कश्चिदद्भुत,कश्चित+अद्भुत
मारुतिरागत्य,मारुति+आगत्य
