श्रीमद्भगवद्गीता,श्रीमत+भगवत+गीता
नैकमेवाति,न+एकम+एव+अति
पुनश्चाश्वासित,पुन+च+आश्वासित
स्निग्धमसृक्पाण्डु,स्निग्धम+असृक+पाण्डु
शनैर्यन्त्रमपनीय,शनै+यन्त्रम+अपनीय
सुमन्त्रश्चाष्टमोऽभवत,सुमन्त्र+च+अष्टम+अभवत
मुनिर्वशिष्ठश्च,मुनि+वशिष्ठ+च
खल्वेषोऽपाय,खलु+एष+अपाय
गुरुर्विश्वामित्रोऽपि,गुरु+विश्वामित्र+अपि
कृतापराधस्त्वम,कृत+अपराध+त्वम
तत्रैवेदानी,तत्र+एव+इदानी
वरमित्यालोच्य,वरम+इति+आलोच्य
रामश्चापि,राम+च+अपि
शिरश्चापि,शिर+च+अपि
विभीषणश्चापि,विभीषण+च+अपि
केवलमभिमन्युरेव,केवलम+अभिमन्यु+एव
बुद्धिर्व्यवसायोSपि,बुद्धि+व्यवसाय+अपि
किञ्चित्किञ्चिदिव,किञ्चित+किञ्चित+इव
नास्त्यसाध्य,न+अस्ति+असाध्य
तत्रैकमपि,तत्र+एकम+अपि
पुनरप्यसौ,पुन+अपि+असौ
तदाऽहमनेन,तदा+अहम+अनेन
तदाऽहमपि,तदा+अहम+अपि
नाऽभिनिवेशोऽसम्भव,न+अभिनिवेश+असम्भव
तदाऽकस्मादेव,तदा+अकस्मात+एव
पुनस्तेनोक्त,पुन+तेन+उक्त
अहमिदानीमेव,अहम+इदानीम+एव
प्रीतिर्नापि,प्रीति+न+अपि
एवाहमद्य,एव+अहम+अद्य
नाहमद्य,न+अहम+अद्य
साक्षान्मृत्युरेव,साक्षात+मृत्यु+एव
चैकमस्थि,च+एकम+अस्थि
ग्रीवाऽद्यावधि,ग्रीवा+अद्य+अवधि
येनाहमधिक,येन+अहम+अधिक
किमेषोऽस्ति,किम+एष+अस्ति
ईदृशोऽप्यवसर,ईदृश+अपि+अवसर
ह्यत्रेव,हि+अत्र+एव
नाव्याप्तिरिति,न+अव्याप्ति+इति
यथार्थमेवेति,यथार्थम+एव+इति
श्यामोऽयमिति,श्याम+अयम+इति
इत्येतावतैव,इति+एतावत+एव
तत्राव्याप्तिरिति,तत्र+अव्याप्ति+इति
तज्ज्ञानमपि,तत+ज्ञानम+अपि
चेन्मैवम,चेत+मा+एवम
इत्यत्रैवात्रापि,इति+अत्र+एव+अत्र+अपि
वाच्यम,तम+उद्देश्य+एव+इति
रूपमित्यस्यापि,रूपम+इति+अस्य+अपि
स्वरूपमित्यर्थ,स्वरूपम+इति+अर्थ
विदित्वैवेति,विदित्व+एव+इति
तत्त्वमसीत्यादि,तत्त्वम+असि+इत्यादि
बह्न्यनुमितिस्तदा,वह्नि+अनुमिति+तदा
यद्यपीह,यदि+अपि+इह
करोतीत्याशङ्क्य,करोति+इति+आशङ्क्य
हेतुतास्त्विति,हेतुता+अस्ति+इति
चैवमेवेति,च+एवम+एव+इति
नास्तीति,न+अस्ति+इति
तत्रातिव्याप्तिरिति,तत्र+अतिव्याप्ति+इति
नातिव्याप्तिरिति,न+अतिव्याप्ति+इति
अन्यथोदाहरणमपि,अन्यथा+उदाहरणम+अपि
चात्रापि,च+अत्र+अपि
तदिदमुक्त,तत+इदम+उक्त
तदेतरत्रापि,तत+इतरत्र+अपि
नापीति,न+अपि+इति
तत्रावश्यकमिति,तत्र+आवश्यकम+इति
प्रतीतिरस्त्येवेति,प्रतीति+अस्ति+एव+इति
एवानुपदमेव,एव+अनुपदम+एव
नोपदर्शितानुपपत्ति,न+उपदर्शित+अनुपपत्ति
तत्राप्यनु,तत्र+अपि+अनु
तत्संबन्धाभाव,तत+संबन्ध+अभाव
एवालोकाभाव,एव+अलोक+अभाव
मित्यापत्तिरिति,मिति+आपत्ति+इति
एकत्रोपदर्शितानुमिति,एकत्र+उपदर्शित+अनुमिति
नानुमित्यापत्ति,न+अनुमिति+आपत्ति
नोपदर्शितानेक,न+उपदर्शित+अनेक
नानुपपत्तिरिति,न+अनुपपत्ति+इति
जातिरस्त्विति,जाति+अस्तु+इति
चैतादृशातिरिक्त,च+एतादृश+अतिरिक्त
चेन्नमैवम,चेत+न+मा+एवम
कोऽप्यर्थ,क+अपि+अर्थ
चैवमपि,च+एवम+अपि
भावकल्पनमावश्यकमेव,कल्पनम+आवश्यकम+एव
विशेषणमित्येतादृश,विशेषणम+इति+एतादृश
निर्णयोत्तरोत्पन्न,निर्णय+उत्तर+उत्पन्न
स्यादेवेति,स्यात+एव+इति
चातिव्याप्तिरित्यनेन,च+अतिव्याप्ति+इति+अनेन
वैज्ञानिकावच्छेदकत्वमादाय,वैज्ञानिक+अवच्छेदकत्वम+आदाय
तथाचास्यापि,तथा+च+अस्य+अपि
इत्यनुमितिरपि,इति+अनुमिति+अपि
साक्षाच्चेत्यपि,साक्षात+च+इति+अपि
पदार्थोत्तरमेव,पदार्थ+उत्तरम+एव
तद्व्यतिरेकस्तादृशान्वय,तत+व्यतिरेक+तादृश+अन्वय
तादृशान्वयबोधाभाव,तादृश+अन्वयबोध+अभाव
तथाविधान्वयबोधाभाव,तथाविध+अन्वयबोध+अभाव
पुनरन्वयबोधापत्ति,पुन+अन्वयबोध+आपत्ति
स्वरूपान्वयानु,स्वरूप+अन्वय+अनु
इत्याद्यवांतर,इति+आदि+अवांतर
पुनरिष्टमेव,पुन+इष्टम+एव
कृतिरित्यादि,कृति+इति+आदि
कुम्भमित्याद्यानुपूर्व,कुम्भम+इत्यादि+आनुपूर्व
समानविषयकानुमित्यनुपपत्ति,समानविषयक+अनुमिति+अनुपपत्ति
नोक्तानुपपत्ति,न+उक्त+अनुपपत्ति
तथाविधानुमित्युत्पाद,तथाविध+अनुमिति+उत्पाद
तदानीमनुमित्यापत्ति,तदानीम+अनुमिति+आपत्ति
नोक्तानुपपत्तिरिति,न+उक्त+अनुपपत्ति+इति
प्रत्यक्षोपपत्तिश्च,प्रत्यक्ष+उपपत्ति+च
अनुमित्यापत्तिर्दुर्वारेवेति,अनुमिति+आपत्ति+दुर्वार+एव+इति
अनुमित्यनुपपत्तिर्दुर्वारेवेति,अनुमिति+अनुपपत्ति+दुर्वार+एव+इति
नानुपपत्तिरति,न+अनुपपत्ति+इति
निर्युक्तिकमेवेति,निर्युक्तिकम+एव+इति
प्रत्यक्षापत्तिस्तदा,प्रत्यक्ष+आपत्ति+तदा
प्रत्यक्षापत्तिरिति,प्रत्यक्ष+आपत्ति+इति
नानुपपत्तिरित्याह,न+अनुपपत्ति+इति+आह
एवमन्यत्रापि,एवम+अन्यत्र+अपि
ग्रहानुपपत्तिरिति,ग्रह+अनुपपत्ति+इति
प्रत्यक्षानुत्पत्त्यापत्ति,प्रत्यक्ष+अनुत्पत्ति+आपत्ति
नातोपि,न+अत+अपि
समानमेवेति,समानम+एव+इति
अपरश्चापण,अपर+च+आपण
शान्तिर्नास्ति,शान्ति+न+अस्ति
पुण्यात्मायम,पुण्या+आत्मा+अयम
व्याप्यान्तर्बहुधा,व्याप्य+अन्त+बहुधा
मन्दोस्म्यह,मन्द+अस्मि+अह
मरणमवश्यमेव,मरणम+अवश्यम+एव
पदमेकमपि,पदम+एकम+अपि
कविरयमिति,कवि+अयम+इति
धन्योस्म्यहम,धन्य+अस्मि+अहम
तत्रैवोपविष्ट,तत्र+एव+उपविष्ट
ब्राह्मणोऽहमिति,ब्राह्मण+अहम+इति
कथमत्राह,कथम+अत्र+अह
प्रातरेवोत्थाय,प्रात+एव+उत्थाय
तद्वरमिति,तत+वरम+इति
अहमेकैव,अहम+एक+एव
यत्किमपि,यत+किम+अपि
सम्यगस्तीति,सम्यक+अस्ति+इति
ममानुभवस्तु,मम+अनुभव+तु
ममायमाशय,मम+अयम+आशय
नैवमह,न+एवम+अह
कारणमिदमस्ति,कारणम+इदम+अस्ति
प्रत्यर्पणमवश्यमेव,प्रत्यर्पणम+अवश्यम+एव
सुजनोऽप्यत्र,सुजन+अपि+अत्र
कोऽयमिति,क+अयम+इति
अधुनाऽहमस्य,अधुना+अहम+अस्य
दर्शनमवश्यमेव,दर्शनम+अवश्यम+एव
मूषकश्चैक,मूषक+च+एक
किमद्यावधि,किम+अद्य+अवधि
सोहमिदानी,स+अहम+इदानी
स्वयमेवाहम,स्वयम+एव+अहम
भवतीत्यहो,भवति+इति+अहो
किमियमेव,किम+इयम+एव
चेदवश्यमेव,चेत+अवश्यम+एव
कलत्रमपत्यञ्च,कलत्रम+अपत्य+च
किसलयमरुणमनन्तम,किसलयम+अरुणम+अनन्तम
विश्रुतोऽप्यह,विश्रुत+अपि+अह
एवोपस्थितोऽस्मीति,एव+उपस्थित+अस्मि+इति
ततस्तदानीमेव,तत+तदानीम+एव
सर्वदैवाह,सर्वदा+एव+अह
यदद्याधिक,यत+अद्य+अधिक
सिंहासनमेकमपरञ्च,सिंहासनम+एकम+अपर+च
अत्रोपस्थितोऽस्मि,अत्र+उपस्थित+अस्मि
अतोऽद्यप्रभृत्यारभ्य,अत+अद्यप्रभृति+आरभ्य
महत्त्वमधिकमस्ति,महत्त्वम+अधिकम+अस्ति
यदद्याह,यत+अद्य+अह
द्वितीयस्तृतीयोऽपि,द्वितीय+तृतीय+अपि
अहमुपस्थितोऽस्मि,अहम+उपस्थित+अस्मि
सहसाऽऽक्रमणमुचित,सहसा+आक्रमणम+उचित
एवाक्रमणमुचित,एव+आक्रमणम+उचित
एवाक्रमणमुचितमस्ति,एव+आक्रमणम+उचितम+अस्ति
ततोऽग्रेऽग्रे,तत+अग्रे+अग्रे
मुक्तिस्तदैव,मुक्ति+तदा+एव
पुनश्चाह,पुन+च+अह
अहंत्वत्र,अह+तु+अत्र
नूनमेवास्य,नूनम+एव+अस्य
यदसावेव,यत+असौ+एव
पुनस्तत्रोत्थाय,पुन+तत्र+उत्थाय
नासन्निति,न+आसन+इति
गमनमुचितमस्तीति,गमनम+उचितम+अस्ति+इति
सम्प्रत्याक्रमणमावश्यक,सम्प्रति+आक्रमणम+आवश्यक
तत्राक्रमणमुचित,तत्र+आक्रमणम+उचित
प्राधान्यमस्तीति,प्राधान्यम+अस्ति+इति
सम्यग्गतिर्नास्ति,सम्यक+गति+न+अस्ति
तच्चेति,तत+च+इति
साक्षात्परम्परेति,साक्षात+परम्परा+इति
नापत्तिरिति,न+आपत्ति+इति
तन्नेति,तत+न+इति
भवत्येवेति,भवति+एव+इति
पर्वतश्चेति,पर्वत+च+इति
प्रत्येकमेवेति,प्रत्येकम+एव+इति
हेतावुपाधिर्नेह,हेतौ+उपाधि+न+इह
हेतुवुपाधिरिति,हेतौ+उपाधि+इति
शक्तिरेकैवेति,शक्ति+एका+एव+इति
स्वयमेवोक्त,स्वयम+एव+उक्त
किमिन्दुरिति,किम+इन्दु+इति
ज्ञानमेवात्र,ज्ञानम+एव+अत्र
चन्द्रमसीति,चन्द्रम+असि+इति
अस्यायमर्थ,अस्य+अयम+अर्थ
तमानयेत्यादि,तम+आनय+इत्यादि
मैवमिति,मा+एवम+इति
कुतोऽनुमितिरिति,कुत+अनुमिति+इति
ततोऽहमेव,तत+अहम+एव
तथाहमपि,तथा+अहम+अपि
सदृशोह्यस्य,सदृश+हि+अस्य
मनश्चैवास्य,मन+च+एव+अस्य
कथमनृतमित्याह,कथम+अनृतम+इति+आह
कथमनेनापि,कथम+अनेन+अपि
नन्वेवमपि,ननु+एवम+अपि
यस्त्विति,य+तु+इति
चित्तु,चित+तु+न+इति
त्रिष्वेवेति,त्रिषु+एव+इति
तत्राक्षतमिति,तत्र+अक्षतम+इति
तथेहापि,तथा+इह+अपि
द्रव्यमेकमिति,द्रव्यम+एकम+इति
लक्षणैवेति,लक्षणा+एव+इति
भानमिष्टमेव,भानम+इष्टम+एव
चेदेवमेव,चेत+एवम+एव
अथैवमपि,अथ+एवम+अपि
ततोऽत्रैव,तत+अत्र+एव
एवमग्रेऽपि,एवम+अग्रे+अपि
इत्युवाचेति,इति+उवाच+इति
त्वन्यत्रेति,तु+अन्यत्र+इति
किंधनमिति,किम+धनम+इति
उपस्थितिश्चेति,उपस्थिति+च+इति
वारणमपीति,वारणम+अपि+इति
यश्चेत्यादि,य+च+इत्यादि
जातिरेवेति,जाति+एव+इति
गौर्नष्टेति,गौ+नष्टा+इति
क्षत्रियोऽहमिति,क्षत्रिय+अहम+इति
क्वास्तीति,क्व+अस्ति+इति
नाहमल,न+अहम+अल
तत्समीचीनमिति,तत+समीचीनम+इति
नाहमत्र,न+अहम+अत्र
किमिदमुचितम,किम+इदम+उचितम
अहमधुनैव,अहम+अधुना+एव
गत्वाप्यह,गत्वा+अपि+अह
चासावनुभवश्चेति,च+असौ+अनुभव+च+इति
एवमुत्तरत्रापि,एवम+उत्तरत्र+अपि
केवलमुपलब्धिरनुपलब्धिर्वा,केवलम+उपलब्धि+अनुपलब्धि
एवायमिति,एव+अयम+इति
भवितव्यमित्यूह,भवितव्यम+इति+ऊह
धर्मश्चात्र,धर्म+च+अत्र
प्रामाण्यमप्यस्तीति,प्रामाण्यम+अपि+अस्ति+इति
प्रमाणमस्तीति,प्रमाणम+अस्ति+इति
प्रयोगस्तद्वदनित्य,प्रयोग+तद्वत+अनित्य
गौर्गौर्न,गौ+गौ+न
धूमोऽग्निरिति,धूम+अग्नि+इति
चासावर्थश्च,च+असौ+अर्थ+च
नेत्याह,न+इति+आह
नाप्यलम,न+अपि+अलम
वृत्तिर्यस्यासौ,वृत्ति+यस्य+असौ
वह्निरवश्यमस्तीति,वह्नि+अवश्यम+अस्ति+इति
तद्यथाऽनित्य,तत+यथा+अनित्य
विनाशश्चाभाव,विनाश+च+अभाव
तल्लक्षणमाह,तत+लक्षणम+आह
सम्यग्घेतुरपि,सम्यक+हेतु+अपि
पुनर्हेतुरेवेति,पुन+हेतु+एव+इति
अतोऽद्यापीति,अत+अद्यापि+इति
एवास्तीति,एव+अस्ति+इति
सर्वत्रास्तीति,सर्वत्र+अस्ति+इति
यथाऽनुष्णोऽग्नि,यथा+अनुष्ण+अग्नि
एवमिहापि,एवम+इह+अपि
यथैवेका,यथा+एव+एका
तथैवान्या,तथा+एव+अन्या
तदनित्यमपि,तत+अनित्यम+अपि
चेदमनर्थकम,च+इदम+अनर्थकम
नान्यथेति,न+अन्यथा+इति
कम्बलोऽस्येति,कम्बल+अस्य+इति
अत्रोदाहरणमाह,अत्र+उदाहरणम+आह
नैवमनित्योऽपि,न+एवम+अनित्य+अपि
निष्पत्तिरुत्पत्तिर्ज्ञप्तिरिति,निष्पत्ति+उत्पत्ति+ज्ञप्ति+इति
नन्वेवमस्यापि,ननु+एवम+अस्य+अपि
तदप्ययुक्तम,तत+अपि+अयुक्तम
स्यान्नानुपलब्धिरिति,स्यात+अनुपलब्धि+इति
परेणाप्यर्थे,परेण+अपि+अर्थे
अस्योदाहरणमाह,अस्य+उदाहरणम+आह
पुनरभिधानमनुवाद,पुन+अभिधानम+अनुवाद
चेन्नैवम,चेत+न+एवम
पुनस्तदानीमेव,पुन+तदानीम+एव
तद्वदागमोऽपि,तद्वत+आगम+अपि
स्वतस्तत्रापि,स्वत+तत्र+अपि
शब्दश्चार्थे,शब्द+च+अर्थे
वायुस्तमेव,वायु+तम+एव
तच्चायुक्तम,तत+च+अयुक्तम
पृथगभिधानमिति,पृथक+अभिधानम+इति
किंचिन्निमित्तमुपादाय,किंचित+निमित्तम+उपादाय
निराकृतोऽपीति,निराकृत+अपि+इति
यदनन्तरमेव,यत+अनन्तरम+एव
तदुभयमपि,तत+उभयम+अपि
किंलक्षणमिति,किम+लक्षणम+इति
तच्चानागतमेव,तत+च+अनागतम+एव
पुरुषस्त्वन्य,पुरुष+तु+अन्य
तस्मात्तत्रापि,तस्मात+तत्र+अपि
वानुवृत्तिरस्ति,वा+अनुवृत्ति+अस्ति
ततोऽचिरेणैव,तत+चिरेण+एव
यत्किञ्चिदपि,यत+किञ्चित+अपि
प्रतिपच्चन्द्रलेखेव,प्रतिपत+चन्द्रलेखा+इव
एवाग्निर्बहुधा,एव+अग्नि+बहुधा
किञ्चित्स्थूलापि,किञ्चित+स्थूला+अपि
मुनिरेवाहम,मुनि+एव+अहम
तावदेवागत्य,तावत+एव+आगत्य
पाकोप्यद्य,पाक+अपि+अद्य
तल्लवोपि,तत+लव+अपि
मयाहूतोपि,मया+आहूत+अपि
विश्वासश्चैष,विश्वास+च+एष
विहितश्चेति,विहित+च+इति
किमागत्यात्र,किम+आगत्य+अत्र
राजाप्यनुपलक्षित,राजा+अपि+अनुपलक्षित
यथागतमागत्य,यथा+आगतम+आगत्य
किमिदमिति,किम+इदम+इति
कथमप्यालोक्येयमपि,कथम+अपि+आलोक्य+इयम+अपि
प्रणमन्नाह,प्रणमत+न+आह
मुक्तोऽहमस्मि,मुक्त+अहम+अस्मि
स्थानमस्तीति,स्थानम+अस्ति+इति
इदमुक्त्वैव,इदम+उक्त्वा+एव
वैश्यस्त्वरितमेव,वैश्य+त्वरितम+एव
अयमिदानीमतीव,अयम+इदानीम+अतीव
समुचितोऽयमवसर,समुचित+अयम+अवसर
नाधुनापि,न+अधुना+अपि
कश्चित्क्षुद्रोपि,कश्चित+क्षुद्र+अपि
पुनर्नृपतिरस्मि,पुन+नृपति+अस्मि
पुनरुक्तोऽपि,पुन+उक्त+अपि
सर्वथैवासमर्थाऽस्मि।,सर्वथा+इव+असमर्थ
तावत्त्‍वमत्रैव,तावत+त्वम+अत्रैव
यदचिरादेव,यत+अचिरात+एव
नास्‍त्‍यत्र,न+अस्ति+अत्र
वनमप्‍यस्ति,वनम+अपि+अस्ति
तावदहमेव,तावत+अहम+एव
पुनश्चेतस्‍ततो,पुन+च+इत+तत
वपुस्‍त्रयमपि,वपु+त्रयम+अपि
अयुक्तमेवेति,अयुक्तम+एव+इति
नाभवत्किल,न+अभवत+किल
कालमिहैव,कालम+इह+एव
द्वेधाप्‍यत्र,द्वेधा+अपि+अत्र
वाचमविगणय्यैव,वाचम+अविगणय्य+एव
कथमप्‍यमी,कथम+अपि+अमी
वयमेवमेव,वयम+एवम+एव
रोमाञ्चश्चानेन,रोमाञ्च+च+अनेन
तत्रैवमुपविष्ट,तत्र+एवम+उपविष्ट
तदेवाहमधुना,तत+एव+अहम+अधुना
यावन्‍नोपलक्षितो,यावत+न+उपलक्षित
किमित्‍यत्र,किम+इति+अत्र
भूयोऽप्‍यवोचत,भूय+अपि+अवोचत
पुत्रस्‍त्‍वेक,पुत्र+तु+एक
यद्यप्‍यहमुदासीनोऽस्मि,यद्यपि+अहम+उदासीन+अस्मि
मयैवेह,मया+एव+इह
कारणमविज्ञायापि,कारणम+अविज्ञाय+अपि
सोऽजरोऽमरश्च,स+अजर+अमर+च
तत्‍पृष्ठमपि,तम+पृष्ठम+अपि
तेऽप्‍यद्य,ते+अपि+अद्य
हृदयमिवादाय,हृदयम+इव+आदाय
श्रेष्ठस्‍तत्तदेवेतरो,श्रेष्ठ+तत+तत+एव+इतर
यानमेवादाय,यानम+एव+आदाय
नामायमेव,नाम+अयम+एव
कश्चिदप्‍युत्तमो,कश्चित+अपि+उत्तम
जातमित्‍यहो,जातम+इति+अह
यदत्रभवती,यत+अत्र+भवती
कथमभवदिति,कथम+अभवत+इति
नास्‍त्‍येव,न+अस्ति+एव
ममेदानीमपि,मम+इदानीम+अपि
मयैवापि,मया+एव+अपितु
कियदप्‍यकरुणा,कियत+अपि+अकरुणा
किञ्चिदपरोऽपि,किञ्चित+अपर+अपि
तत्किमसौ,तत+किम+असौ
काचित्‍सततमेव,काचित+सततम+एव
यदयमेव,यत+अयम+एव
इयमेवैका,इयम+एव+एका
नैकदापि,न+एकदा+अपि
सोऽयमधुना,स+अयम+अधुना
तत्‍प्रभावश्च,तत+प्रभाव+च
किमनेनैव,किम+अनेन+एव
मुहुर्मुहुस्‍तमालिङ्ग्य,मुहु+मुहु+तम+आलिङ्ग्य
कथमत्राधिकारी,कथम+अत्र+अधिकारी
स्यात्तत्राह,स्यात+तत्र+आह
एवास्यापीति,एव+अस्य+अपि+इति
भावस्तत्त्वमित्यादि,भाव+तत्त्वम+इत्यादि
यदाहेति,यत+आह+इति
तदेवोक्त,तत+एव+उक्त
तत्रापीति,तत्र+अपि+इति
तत्प्रमाणमिति,तत+प्रमाणम+इति
तत्तत्फलवदिति,तत+तत+फलवत+इति
चायमर्थ,च+अयम+अर्थ
कृतमित्याह,कृतम+इति+आह
प्रत्यपीति,प्रति+अपि+इति
भावस्तत्त्वमिति,भाव+तत्त्वम+इति
स्यादित्याशङ्क्य,स्यात+इति+आशङ्क्य
यत्त्विति,यत+तु+इति
तदयुक्तमित्युत्तरत्र,तत+अयुक्तम+इति+उत्तरत्र
कश्चिदित्युक्तम,कश्चित+इति+उक्तम
तत्तथोक्तम,तत+तथा+उक्तम
तदयुक्तमिति,तत+अयुक्तम+इति
तदयुक्तमित्युक्तमित्याशङ्क्य,तत+अयुक्तम+इति+उक्तम+इति+आशङ्क्य
ततश्चैकत्र,तत+च+एकत्र
वैषम्यमस्तीति,वैषम्यम+अस्ति+इति
तदुक्तमिति,तत+उक्तम+इति
कथमित्याह,कथम+इति+आह
तदेवमिति,तत+एवम+इति
कथमित्याशङ्क्य,कथम+इति+आशङ्क्य
पटश्चेति,पट+च+इति
यदैवेति,यदा+वा+इति
जन्मेत्याह,जन्म+इति+आह
स्यादित्यर्थ,स्यात+इति+अर्थ
तदेवेति,तदा+एव+इति
सतीत्युक्तम,सति+इति+उक्तम
स्यादित्याह,स्यात+इति+आह
नास्तीत्याह,न+अस्ति+इति+आह
नास्त्येवेत्याह,न+अस्ति+एव+इति+आह
चेत्तदप्यस्तीत्याह,चेत+तत+अपि+अस्ति+इति+आह
मैवामिति,मा+एवम+इति
नाप्यसमवायिकारणमिति,न+अपि+असमवायिकारणम+इति
किमत्रोदाहरण,किम+अत्र+उदाहरण
कथमपीति,कथम+अपि+इति
तन्नेत्युक्त,तत+न+इति+उक्त
प्रमाणमित्युक्त,प्रमाणम+इति+उक्त
करणमित्युक्तम,करणम+इति+उक्तम
इत्याशङ्क्याह,इति+आशङ्क्य+आह
काचिदनुपपत्तिरिति,काचित+अनुपपत्ति+इति
किंचिदिदामिति,किंचित+इदम+इति
करणमित्यन्वय,करणम+इति+अन्वय
डित्थोऽयमिति,डित्थ+अयम+इति
कदेत्याकाङ्क्षति,कदा+इति+आकाङ्क्षति
कश्चिदाहेति,कश्चित+आह+इति
तद्यथेति,तत+यथा+इति
इदमत्राकूतम,इदम+अत्र+आकूतम
चेन्मैव,चेत+मा+एव
सत्यपीति,सति+अपि+इति
ग्रहणमित्याह,ग्रहणम+इति+आह
समवायोऽपीति,समवाय+अपि+इति
संग्रहश्चेति,संग्रह+च+इति
प्रत्यक्षमित्याशङ्क्याह,प्रत्यक्षम+इति+आशङ्क्य+आह
घटोयमिति,घट+अयम+इति
गतिस्तत्राह,गति+तत्र+आह
नैवमिति,न+एवम+इति
जातिरालम्बनमस्त्विति,जाति+आलम्बनम+अस्तु+इति
सामान्यमारोपितमिति,सामान्यम+आरोपितम+इति
कासावनुमिति,का+असौ+अनुमिति
लिङ्गमित्यर्थ,लिङ्गम+इति+अर्थ
लिङ्गमित्युक्तम,लिङ्गम+इति+उक्तम
अस्त्येवेति,अस्ति+एव+इति
धूमस्तत्राग्निरिति,धूम+तत्र+अग्नि+इति
नान्यथेत्यर्थ,न+अन्यथा+इति+अर्थ
भवतीत्यत्राह,भवति+इति+अत्र+आह
कस्तत्रोपाधिस्तत्राह,क+तत्र+उपाधि+तत्र+आह
भाव्यमित्याशङ्क्य,भाव्यम+इति+आशङ्क्य
तद्वदुपाधिरपि,तद्वत+उपाधि+अपि
नैवेष्टा,न+एव+इष्टा
यथोपाधिरस्ति,यथा+उपाधि+अस्ति
किमुपाधिरस्ति,किम+उपाधि+अस्ति
उपाधिरस्तीति,उपाधि+अस्ति+इति
तस्मान्नास्तीति,तस्मात+न+अस्ति+इति
तत्राग्निरस्तीति,तत्र+अग्नि+अस्ति+इति
यत्राग्निरस्ति,यत्र+अग्नि+अस्ति
धूमोऽस्तीति,धूम+अस्ति+इति
व्याप्तिरस्तीति,व्याप्ति+अस्ति+इति
दहनोऽस्त्येव,दहन+अस्ति+एव
तदनेनेति,तत+अनेन+इति
अस्त्यत्रेति,अस्ति+अत्र+इति
धूमस्तत्राग्निरस्त्विह,धूम+तत्र+अग्नि+अस्तु+इह
अयमेवेति,अयम+वा+इति
कथमित्याशङ्क्योक्त,कथम+इति+आशङ्क्य+उक्त
नन्वसत्यपि,ननु+असति+अपि
तथोक्तमिति,तथा+उक्तम+इति
किमनुमितिरित्याशङ्क्य,किम+अनुमिति+इति+आशङ्क्य
भवितव्यमित्याह,भवितव्यम+इति+आह
अत्रापीति,अत्र+अपि+इति
चायमित्युपनय,च+अयम+इति+उपनय
तस्मात्तथेति,तस्मात+तथा+इति
तदयमर्थ,तत+अयम+अर्थ
यत्तत्प्रदर्शनमित्यन्वय,यत+तत+प्रदर्शनम+इति+अन्वय
पक्षपातस्तत्राह,पक्षपात+तत्र+आह
यद्यत्कृतक,यत+यत+कृतक
युक्तमित्यभिप्रेत्य,युक्तम+इति+अभिप्रेत्य
एवेत्याह,एव+इति+आह
भूदित्याह,भूत+इति+आह
सम्यग्हेतुरिति,सम्यक+हेतु+इति
भवतीत्याह,भवति+इति+आह
सुकरेत्यर्थ,सुकरा+इति+अर्थ
व्यवहारस्तथैव,व्यवहार+तथा+एव
पञ्चैवेति,पञ्च+एव+इति
नेष्टमिति,न+इष्टम+इति
धर्मस्त्वधर्म,धर्म+तु+अधर्म
उपाधिर्भवत्ययम,उपाधि+भवति+अयम
व्याप्यत्वमित्यर्थ,व्याप्यत्वम+इति+अर्थ
भवतीत्यभिप्रेत्याह,भवति+इति+अभिप्रेत्य+आह
तदेत्युक्त,तदा+इति+उक्त
वाक्यमित्येतावदेवास्तु,वाक्यम+इति+एतावत+एव+अस्तु
चेदस्यापि,चेत+अस्य+अपि
वाक्यमित्यस्तु,वाक्यम+इति+अस्तु
कतीत्याकाङ्क्षा,कति+इति+आकाङ्क्षा
नन्वत्रेति,ननु+अत्र+इति
यद्वेति,यत+वा+इति
तेनायमिति,तेन+अयम+इति
वाक्यमित्युक्त,वाक्यम+इति+उक्त
पदमित्युक्त,पदम+इति+उक्त
चेत्तन्न,चेत+तत+न
किंचिन्नेति,किंचित+न+इति
एकदैवेति,एकदा+एव+इति
इत्यभिप्रेत्याह,इति+अभिप्रेत्य+आह
तत्कथमित्याशङ्क्याह,तत+कथम+इति+आशङ्क्य+आह
चानुमानमस्ति,च+अनुमानम+अस्ति
चेत्तत्राह,चेत+तत्र+आह
तस्मादेकमेवेद,तस्मात+एकम+एव+इद
तस्मादेकमेव,तस्मात+एकम+एव
कदाचिदनुपपत्तिरिति,कदाचित+अनुपपत्ति+इति
तदिदमिति,तत+इदम+इति
त्वस्येति,तु+अस्य+इति
वेदवल्लोकेऽपि,वेदवत+लोके+अपि
समानमित्याशङ्क्य,समानम+इति+आशङ्क्य
तदाऽसिद्धिरेव,तदा+असिद्धि+एव
वार्थोऽन्यथा,वा+अर्थ+अन्यथा
चाप्यसौ,च+अपि+असौ
तत्रानुपलब्धिर्नाम,तत्र+अनुपलब्धि+नाम
अनुपलब्धिश्चेति,अनुपलब्धि+च+इति
पश्चाद्भवदपि,पश्चात+भवत+अपि
यच्चोक्त,यत+च+उक्त
तद्वदेकमेव,तद्वत+एकम+एव
गतिरित्याह,गति+इति+आह
तत्संबद्धमेव,तत+संबद्धम+एव
समश्चेति,सम+च+इति
तद्वदत्रापि,तद्वत+अत्र+अपि
प्रागेवेति,प्राक+एव+इति
सिद्धमित्यर्थ,सिद्धम+इति+अर्थ
तत्तज्जन्यम,तत+तत+जन्यम
